,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,ORDERS,,Bestellung,X,Bestellung
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,09B,,Ausgabe 2009 - B,X,Ausgabe 2009 - B
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.3,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z14,,Stammdaten der Markt-oder Messlokation,X,Stammdaten der Markt-oder Messlokation
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,Prüfidentifikator,SG1,,,,,,Muss,
15,Prüfidentifikator,SG1,,,,,,Muss,
16,Prüfidentifikator,SG1,RFF,,,,,Muss,
17,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
18,Prüfidentifikator,SG1,RFF,1154,17104,,Anfrage vom MSB Gas,X,Anfrage vom MSB Gas
19,MP-ID Absender,SG2,,,,,,Muss,
20,MP-ID Absender,SG2,,,,,,Muss,
21,MP-ID Absender,SG2,NAD,,,,,Muss,
22,MP-ID Absender,SG2,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,Nachrichtenaussteller bzw.-absender
23,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X [60] ∧ [62],
24,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,GS1
25,Ansprechpartner,SG5,,,,,,Muss,
26,Ansprechpartner,SG5,,,,,,Muss,
27,Ansprechpartner,SG5,CTA,,,,,Muss,
28,Ansprechpartner,SG5,CTA,3139,,,,IC,
29,Ansprechpartner,SG5,CTA,3412,,,Kontakt,X,
30,Kommunikationsverbindung,SG5,,,,,,,
31,Kommunikationsverbindung,SG5,,,,,,Muss,
32,Kommunikationsverbindung,SG5,COM,,,,,Muss,
33,Kommunikationsverbindung,SG5,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
34,Kommunikationsverbindung,SG5,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
35,MP-ID Empfänger,SG2,,,,,,Muss,
36,MP-ID Empfänger,SG2,,,,,,Muss,
37,MP-ID Empfänger,SG2,NAD,,,,,Muss,
38,MP-ID Empfänger,SG2,NAD,3035,,,,MR,
39,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X [61] ∧ [63],
40,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,GS1
41,Meldepunkt,SG2,,,,,,Muss [64],
42,Meldepunkt,SG2,,,,,,Muss [64],
43,Meldepunkt,SG2,NAD,,,,,Muss,
44,Meldepunkt,SG2,NAD,3035,,,,DP,
45,Meldepunkt,SG2,,,,,,,
46,Meldepunkt,SG2,,,,,,Muss,
47,Meldepunkt,SG2,LOC,,,,,Muss,
48,Meldepunkt,SG2,LOC,3227,,,,172,
49,Meldepunkt,SG2,LOC,3225,,,Identifikator,X [951] [535],
50,Messlokationsadresse,SG2,,,,,,Muss [13]Soll [9],
51,Messlokationsadresse,SG2,,,,,,Muss [13]Soll [9],
52,Messlokationsadresse,SG2,NAD,,,,,Muss,
53,Messlokationsadresse,SG2,NAD,3035,,,,Z03,
54,Messlokationsadresse,SG2,NAD,3124,,,Zusatzinformation zurIdentifizierung,K,
55,Messlokationsadresse,SG2,NAD,3042,,,Straße und Hausnummer oderPostfach,S [12]M [57],
56,Messlokationsadresse,SG2,NAD,3164,,,Ort,X,
57,Messlokationsadresse,SG2,NAD,3251,,,"Postleitzahl, Code",X,
58,Messlokationsadresse,SG2,NAD,3207,,,"Ländername, Code",X,
59,Abschnitts-Kontrollsegment,,,,,,,Muss,
60,Abschnitts-Kontrollsegment,,UNS,0081,und Summenteil,,,S,und Summenteil
61,Nachrichten-Endesegment,,,,,,,Muss,
62,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
63,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
