#,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,Änderung,Segmentname_FV2504,Segmentgruppe_FV2504,Segment_FV2504,Datenelement_FV2504,Segment ID_FV2504,Code_FV2504,Beschreibung_FV2504,Bedingungsausdruck_FV2504,Bedingung_FV2504
1,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss,,,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,00001,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,,UNH,0062,00001,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,00001,ORDCHG,Bestelländerung,X,,,Nachrichten-Kopfsegment,,UNH,0065,00001,ORDCHG,Bestelländerung,X,
4,Nachrichten-Kopfsegment,,UNH,0052,00001,D,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,,UNH,0052,00001,D,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,00001,20B,Ausgabe 2020 - B,X,,,Nachrichten-Kopfsegment,,UNH,0054,00001,20B,Ausgabe 2020 - B,X,
6,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,UN/CEFACT,X,,,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,00001,1.1,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,,UNH,0057,00001,1.1,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,BGM,,00002,,,Muss,,,Beginn der Nachricht,,BGM,,00002,,,Muss,
9,Beginn der Nachricht,,BGM,1001,00002,Z51,Sperrung,X,,,Beginn der Nachricht,,BGM,1001,00002,Z51,Sperrung,X,
10,Beginn der Nachricht,,BGM,1001,,Z52,Entsperrung,X,,,Beginn der Nachricht,,BGM,1001,,Z52,Entsperrung,X,
