,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,REQOTE,,Anfrage,X,Anfrage
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,10A,,Ausgabe 2010 - A,X,Ausgabe 2010 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.3,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z57,,Übermittlung von Wertenan ESA,X,Übermittlung von Wertenan ESA
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,Datum zum geplanten Leistungsbeginn,,,,,,,Muss,
15,Datum zum geplanten Leistungsbeginn,,DTM,2005,76,,"Lieferdatum/-zeit, geplant",X,"Lieferdatum/-zeit, geplant"
16,Datum zum geplanten Leistungsbeginn,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
17,Datum zum geplanten Leistungsbeginn,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
18,Allgemeine Information (Feld für allgemeine Hinweise),,,,,,,Kann,
19,Allgemeine Information (Feld für allgemeine Hinweise),,FTX,4451,(für allgemeine Hinweise),,,ACB,(für allgemeine Hinweise)
20,Allgemeine Information (Feld für allgemeine Hinweise),,FTX,4440,,,Freier Text,X,
21,Prüfidentifikator,SG1,,,,,,Muss,
22,Prüfidentifikator,SG1,,,,,,Muss,
23,Prüfidentifikator,SG1,RFF,,,,,Muss,
24,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
25,Prüfidentifikator,SG1,RFF,1154,35003,,Anfrage von Werten fürESA,X,Anfrage von Werten fürESA
26,MP-ID Absender,SG11,,,,,,Muss,
27,MP-ID Absender,SG11,,,,,,Muss,
28,MP-ID Absender,SG11,NAD,,,,,Muss,
29,MP-ID Absender,SG11,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,Nachrichtenaussteller bzw.-absender
30,MP-ID Absender,SG11,NAD,3039,,,MP-ID,X [10],
31,MP-ID Absender,SG11,NAD,3055,9,,GS1,X,GS1
32,Ansprechpartner,SG14,,,,,,Muss,
33,Ansprechpartner,SG14,,,,,,Muss,
34,Ansprechpartner,SG14,CTA,,,,,Muss,
35,Ansprechpartner,SG14,CTA,3139,,,,IC,
36,Ansprechpartner,SG14,CTA,3412,,,Kontakt,X,
37,Kommunikationsverbindung,SG14,,,,,,,
38,Kommunikationsverbindung,SG14,,,,,,Muss,
39,Kommunikationsverbindung,SG14,COM,,,,,Muss,
40,Kommunikationsverbindung,SG14,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
41,Kommunikationsverbindung,SG14,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
42,MP-ID Empfänger,SG11,,,,,,Muss,
43,MP-ID Empfänger,SG11,,,,,,Muss,
44,MP-ID Empfänger,SG11,NAD,,,,,Muss,
45,MP-ID Empfänger,SG11,NAD,3035,,,,MR,
46,MP-ID Empfänger,SG11,NAD,3039,,,MP-ID,X [10],
47,MP-ID Empfänger,SG11,NAD,3055,9,,GS1,X,GS1
48,"Liefer-, bzw. Bezugsort",SG11,,,,,,Muss,
49,"Liefer-, bzw. Bezugsort",SG11,,,,,,Muss,
50,"Liefer-, bzw. Bezugsort",SG11,NAD,,,,,Muss,
51,"Liefer-, bzw. Bezugsort",SG11,NAD,3035,,,,DP,
52,Meldepunkt,SG11,,,,,,,
53,Meldepunkt,SG11,,,,,,Muss,
54,Meldepunkt,SG11,LOC,,,,,Muss,
55,Meldepunkt,SG11,LOC,3227,,,,172,
56,Meldepunkt,SG11,LOC,3225,,,Identifikator,X ([950] [502]) ⊻ ([951][503]) ⊻ ([950] [504]) ⊻([960] [510]),
57,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,Muss [2003] ∧ [7] ∧ [34],
58,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,Muss [2003] ∧ [7] ∧ [34],
59,Erforderliches Messprodukt der Marktlokation,SG27,LIN,,,,,Muss,
60,Erforderliches Messprodukt der Marktlokation,SG27,LIN,1082,,,Positionsnummer,X [903],
61,Erforderliches Messprodukt der Marktlokation,SG27,LIN,1229,Marktlokation,,,Z27,Marktlokation
62,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,,
63,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,Muss,
64,Erforderliches Messprodukt der Marktlokation,SG27,PIA,,,,,Muss,
65,Erforderliches Messprodukt der Marktlokation,SG27,PIA,4347,,,,5,
66,Erforderliches Messprodukt der Marktlokation,SG27,PIA,7140,,,Messprodukt-Code,X [11],
67,Erforderliches Messprodukt der Marktlokation,SG27,PIA,7143,Z11,,Messprodukt,X,Messprodukt
68,Erforderliches Messprodukt der Tranche,SG27,,,,,,Muss [2003] ∧ [8] ∧ [34],
69,Erforderliches Messprodukt der Tranche,SG27,,,,,,Muss [2003] ∧ [8] ∧ [34],
70,Erforderliches Messprodukt der Tranche,SG27,LIN,,,,,Muss,
71,Erforderliches Messprodukt der Tranche,SG27,LIN,1082,,,Positionsnummer,X [903],
72,Erforderliches Messprodukt der Tranche,SG27,LIN,1229,der Tranche,,,Z16,der Tranche
73,Erforderliches Messprodukt der Tranche,SG27,,,,,,,
74,Erforderliches Messprodukt der Tranche,SG27,,,,,,Muss,
75,Erforderliches Messprodukt der Tranche,SG27,PIA,,,,,Muss,
76,Erforderliches Messprodukt der Tranche,SG27,PIA,4347,,,,5,
77,Erforderliches Messprodukt der Tranche,SG27,PIA,7140,,,Messprodukt-Code,X [12],
78,Erforderliches Messprodukt der Tranche,SG27,PIA,7143,Z11,,Messprodukt,X,Messprodukt
79,Erforderliches Messprodukt der Messlokation,SG27,,,,,,Muss [2004],
80,Erforderliches Messprodukt der Messlokation,SG27,,,,,,Muss [2004],
81,Erforderliches Messprodukt der Messlokation,SG27,LIN,,,,,Muss,
82,Erforderliches Messprodukt der Messlokation,SG27,LIN,1082,,,Positionsnummer,X [903],
83,Erforderliches Messprodukt der Messlokation,SG27,LIN,1229,der Messlokation,,,Z19,der Messlokation
84,Erforderliches Messprodukt der Messlokation,SG27,,,,,,,
85,Erforderliches Messprodukt der Messlokation,SG27,,,,,,Muss,
86,Erforderliches Messprodukt der Messlokation,SG27,PIA,,,,,Muss,
87,Erforderliches Messprodukt der Messlokation,SG27,PIA,4347,,,,5,
88,Erforderliches Messprodukt der Messlokation,SG27,PIA,7140,,,Messprodukt-Code,X [14],
89,Erforderliches Messprodukt der Messlokation,SG27,PIA,7143,Z11,,Messprodukt,X,Messprodukt
90,Erforderliches Messprodukt der Netzlokation,SG27,,,,,,Muss [2003] ∧ [7] ∧ [8],
91,Erforderliches Messprodukt der Netzlokation,SG27,,,,,,Muss [2003] ∧ [7] ∧ [8],
92,Erforderliches Messprodukt der Netzlokation,SG27,LIN,,,,,Muss,
93,Erforderliches Messprodukt der Netzlokation,SG27,LIN,1082,,,Positionsnummer,X [903],
94,Erforderliches Messprodukt der Netzlokation,SG27,LIN,1229,der Netzlokation,,,Z53,der Netzlokation
95,Erforderliches Messprodukt der Netzlokation,SG27,,,,,,,
96,Erforderliches Messprodukt der Netzlokation,SG27,,,,,,Muss,
97,Erforderliches Messprodukt der Netzlokation,SG27,PIA,,,,,Muss,
98,Erforderliches Messprodukt der Netzlokation,SG27,PIA,4347,,,,5,
99,Erforderliches Messprodukt der Netzlokation,SG27,PIA,7140,,,Messprodukt-Code,X [13],
100,Erforderliches Messprodukt der Netzlokation,SG27,PIA,7143,Z11,,Messprodukt,X,Messprodukt
101,Abschnitts-Kontrollsegment,,,,,,,Muss,
102,Abschnitts-Kontrollsegment,,UNS,0081,und Summenteil,,,S,und Summenteil
103,Nachrichten-Endesegment,,,,,,,Muss,
104,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
105,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
