,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichtenanfang,,,,,,,Muss,
1,Nachrichtenanfang,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichtenanfang,,UNH,0065,INVOIC,,Rechnung,X,Rechnung
3,Nachrichtenanfang,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichtenanfang,,UNH,0054,06A,,Ausgabe 2006 - A,X,Ausgabe 2006 - A
5,Nachrichtenanfang,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichtenanfang,,UNH,0057,2.8b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Rechnungsnummer,,,,,,,Muss,
8,Rechnungsnummer,,BGM,1001,380,,Handelsrechnung,X,Handelsrechnung
9,Rechnungsnummer,,BGM,1004,,,Dokumentennummer,X,
10,Rechnungsnummer,,BGM,1225,,,,79,
11,Nachrichtendatum,,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
13,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
14,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
15,Bearbeitungs-/ Verarbeitungsdatum,,,,,,,Muss,
16,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2005,9,,Bearbeitungs-/Verarbeitungsdatum/-zeit,X,Bearbeitungs-/Verarbeitungsdatum/-zeit
17,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
18,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
19,Abrechnungszeitraum Beginn,,,,,,,Muss [53],
20,Abrechnungszeitraum Beginn,,DTM,2005,155,,"Rechnungsperiode,Beginndatum",X,"Rechnungsperiode,Beginndatum"
21,Abrechnungszeitraum Beginn,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB3],
22,Abrechnungszeitraum Beginn,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
23,Abrechnungszeitraum Ende,,,,,,,Muss [53],
24,Abrechnungszeitraum Ende,,DTM,2005,156,,"Rechnungsperiode,Endedatum",X,"Rechnungsperiode,Endedatum"
25,Abrechnungszeitraum Ende,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB3],
26,Abrechnungszeitraum Ende,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
27,Ausführungsdatum,,,,,,,Muss [47],
28,Ausführungsdatum,,DTM,2005,203,,Ausführungsdatum/-zeit,X,Ausführungsdatum/-zeit
29,Ausführungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [518],
30,Ausführungsdatum,,DTM,2379,102,,CCYYMMDD,X,CCYYMMDD
31,Rechnungstyp,,,,,,,Muss,
32,Rechnungstyp,,IMD,7081,Z43,,Rechnung für Sperren undWiederinbetriebnahme,X,Rechnung für Sperren undWiederinbetriebnahme
33,Meldeinformationen,,,,,,,Soll [4] ,
34,Meldeinformationen,,FTX,4451,,,,REG,
35,Meldeinformationen,,FTX,4441,RCH,,Reverse Charge gemäß§13b UStG /Steuerschuldnerschaft desLeistungsempfängers,X,Reverse Charge gemäß§13b UStG /Steuerschuldnerschaft desLeistungsempfängers
36,Prüfidentifikator,SG1,,,,,,Muss,
37,Prüfidentifikator,SG1,,,,,,Muss,
38,Prüfidentifikator,SG1,RFF,,,,,Muss,
39,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
40,Prüfidentifikator,SG1,RFF,1154,31011,,Rechnung sonstige Leistung,X,Rechnung sonstige Leistung
41,Referenz auf Ursprungsrechnungsnumm er,SG1,,,,,,Muss [48],
42,Referenz auf Ursprungsrechnungsnumm er,SG1,,,,,,Muss [48],
43,Referenz auf Ursprungsrechnungsnumm er,SG1,RFF,,,,,Muss,
44,Referenz auf Ursprungsrechnungsnumm er,SG1,RFF,1153,OI,,Ursprungsrechnungsnummer,X [521],Ursprungsrechnungsnummer
45,Referenz auf Ursprungsrechnungsnumm er,SG1,RFF,1154,,,"Referenz, Identifikation",X,
46,Referenzdatum,SG1,,,,,,,
47,Referenzdatum,SG1,,,,,,Muss,
48,Referenzdatum,SG1,DTM,,,,,Muss,
49,Referenzdatum,SG1,DTM,2005,171,,Referenzdatum/-zeit,X,Referenzdatum/-zeit
50,Referenzdatum,SG1,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
51,Referenzdatum,SG1,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
52,Referenz auf Nummer des zugehörigen Dokuments,SG1,,,,,,Muss [47],
53,Referenz auf Nummer des zugehörigen Dokuments,SG1,,,,,,Muss [47],
54,Referenz auf Nummer des zugehörigen Dokuments,SG1,RFF,,,,,Muss,
55,Referenz auf Nummer des zugehörigen Dokuments,SG1,RFF,1153,ACE,,Nummer des zugehörigen,X,Nummer des zugehörigen
56,Referenz auf Nummer des zugehörigen Dokuments,SG1,RFF,1154,,,"Referenz, Identifikation",X [501],
57,Name und Anschrift des Nachrichtensenders,SG2,,,,,,Muss,
58,Name und Anschrift des Nachrichtensenders,SG2,,,,,,Muss,
59,Name und Anschrift des Nachrichtensenders,SG2,NAD,,,,,Muss,
60,Name und Anschrift des Nachrichtensenders,SG2,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,Nachrichtenaussteller bzw.-absender
61,Name und Anschrift des Nachrichtensenders,SG2,NAD,3039,,,MP-ID,X,
62,Name und Anschrift des Nachrichtensenders,SG2,NAD,3055,9,,GS1,X,GS1
63,Name und Anschrift des Nachrichtensenders,SG2,NAD,3036,,,Beteiligter,X,
64,Name und Anschrift des Nachrichtensenders,SG2,NAD,3045,Z01,,Struktur vonPersonennamen,X,Struktur vonPersonennamen
65,Name und Anschrift des Nachrichtensenders,SG2,NAD,3042,,,Straße und Hausnummer oderPostfach,S [7],
66,Name und Anschrift des Nachrichtensenders,SG2,NAD,3164,,,Ort,M,
67,Name und Anschrift des Nachrichtensenders,SG2,NAD,3251,,,"Postleitzahl, Code",X,
68,Name und Anschrift des Nachrichtensenders,SG2,NAD,3207,,,"Ländername, Code",X,
69,"Steuernummer, Umsatzsteuernummer",SG3,,,,,,Muss,
70,"Steuernummer, Umsatzsteuernummer",SG3,,,,,,Muss,
71,"Steuernummer, Umsatzsteuernummer",SG3,RFF,,,,,Muss,
72,"Steuernummer, Umsatzsteuernummer",SG3,RFF,1153,VA,,Umsatzsteuernummer,X,Umsatzsteuernummer
73,"Steuernummer, Umsatzsteuernummer",SG3,RFF,1154,,,"Referenz, Identifikation",X,
74,Ansprechpartner,SG5,,,,,,Kann,
75,Ansprechpartner,SG5,,,,,,Kann,
76,Ansprechpartner,SG5,CTA,,,,,Muss,
77,Ansprechpartner,SG5,CTA,3139,,,,IC,
78,Ansprechpartner,SG5,CTA,3412,,,Kontakt,X,
79,Kommunikationsverbindung,SG5,,,,,,,
80,Kommunikationsverbindung,SG5,,,,,,Muss,
81,Kommunikationsverbindung,SG5,COM,,,,,Muss,
82,Kommunikationsverbindung,SG5,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
83,Kommunikationsverbindung,SG5,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
84,Name und Anschrift des Nachrichtenempfängers,SG2,,,,,,Muss,
85,Name und Anschrift des Nachrichtenempfängers,SG2,,,,,,Muss,
86,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,,,,,Muss,
87,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3035,,,,MR,
88,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3039,,,MP-ID,X,
89,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3055,9,,GS1,X,GS1
90,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3036,,,Beteiligter,X,
91,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3045,Z01,,Struktur vonPersonennamen,X,Struktur vonPersonennamen
