,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,ORDRSP,,Bestellantwort,X,Bestellantwort
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,10A,,Ausgabe 2010 - A,X,Ausgabe 2010 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.3,,VersionsnummerderzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,VersionsnummerderzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z51,,Sperrung,X,Sperrung
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,Referenz Nachrichtennummer,SG1,,,,,,Muss,
15,Referenz Nachrichtennummer,SG1,,,,,,Muss,
16,Referenz Nachrichtennummer,SG1,RFF,,,,,Muss,
17,Referenz Nachrichtennummer,SG1,RFF,1153,ON,,Auftragsnummer(Einkauf),X,Auftragsnummer(Einkauf)
18,Referenz Nachrichtennummer,SG1,RFF,1154,,,ReferenzNachrichtennummer,X [529],
19,Prüfidentifikator,SG1,,,,,,Muss,
20,Prüfidentifikator,SG1,,,,,,Muss,
21,Prüfidentifikator,SG1,RFF,,,,,Muss,
22,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
23,Prüfidentifikator,SG1,RFF,1154,19116,,Bestätigung Sperr-/Entsperrauftrag,X,Bestätigung Sperr-/Entsperrauftrag
24,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,Muss,
25,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,Muss,
26,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,,,,,Muss,
27,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,4465,,,Code des Prüfschritts,X [17],
28,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,1082,E_047,,EBD Nr. E_0470,X [24] ∧,EBD Nr. E_0470
29,Allgemeine Information (Feld für allgemeine Hinweise),SG2,,,,,,,
30,Allgemeine Information (Feld für allgemeine Hinweise),SG2,,,,,,,
31,Allgemeine Information (Feld für allgemeine Hinweise),SG2,FTX,,,,,,
32,Allgemeine Information (Feld für allgemeine Hinweise),SG2,FTX,4451,AAP,,Antwort (FreierText),,Antwort (FreierText)
33,Allgemeine Information (Feld für allgemeine Hinweise),SG2,FTX,4440,,,Freier Text,,
34,MP-ID Absender,SG3,,,,,,Muss,
35,MP-ID Absender,SG3,,,,,,Muss,
36,MP-ID Absender,SG3,NAD,,,,,Muss,
37,MP-ID Absender,SG3,NAD,3035,MS,,Dokumenten-/Nachrichtenaussteller bzw. -absender,X,Dokumenten-/Nachrichtenaussteller bzw. -absender
38,MP-ID Absender,SG3,NAD,3039,,,MP-ID,X,
39,MP-ID Absender,SG3,NAD,3055,9,,GS1,X,GS1
40,Ansprechpartner,SG6,,,,,,Kann,
41,Ansprechpartner,SG6,,,,,,Kann,
42,Ansprechpartner,SG6,CTA,,,,,Muss,
43,Ansprechpartner,SG6,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
44,Ansprechpartner,SG6,CTA,3412,,,Kontakt,X,
45,Kommunikationsverbindu ng,SG6,,,,,,,
46,Kommunikationsverbindu ng,SG6,,,,,,Muss,
47,Kommunikationsverbindu ng,SG6,COM,,,,,Muss,
48,Kommunikationsverbindu ng,SG6,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
49,Kommunikationsverbindu ng,SG6,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
50,MP-ID Empfänger,SG3,,,,,,Muss,
51,MP-ID Empfänger,SG3,,,,,,Muss,
52,MP-ID Empfänger,SG3,NAD,,,,,Muss,
53,MP-ID Empfänger,SG3,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
54,MP-ID Empfänger,SG3,NAD,3039,,,MP-ID,X,
55,MP-ID Empfänger,SG3,NAD,3055,9,,GS1,X,GS1
56,Währungsangaben,SG8,,,,,,Soll ([11] ∨[45]) ∧[12],
57,Währungsangaben,SG8,,,,,,Soll ([11] ∨[45]) ∧[12],
58,Währungsangaben,SG8,CUX,,,,,Muss,
59,Währungsangaben,SG8,CUX,6347,2,,Referenzwährung,X,Referenzwährung
60,Währungsangaben,SG8,CUX,6345,EUR,,Euro,X,Euro
61,Währungsangaben,SG8,CUX,6343,9,,Auftragswährung,X,Auftragswährung
62,Positionsdaten,SG27,,,,,,Muss ([11]∨ [45]) ∧[2036],
63,Positionsdaten,SG27,,,,,,Muss ([11]∨ [45]) ∧[2036],
64,Positionsdaten,SG27,LIN,,,,,Muss,
65,Positionsdaten,SG27,LIN,1082,,,Positionsnummer,X [903],
66,Besondere Sachverhalte zur Sperrung (nicht pauschal im Preisblatt abgebildet),SG27,,,,,,,
67,Besondere Sachverhalte zur Sperrung (nicht pauschal im Preisblatt abgebildet),SG27,,,,,,Muss,
68,Besondere Sachverhalte zur Sperrung (nicht pauschal im Preisblatt abgebildet),SG27,FTX,,,,,Muss,
69,Besondere Sachverhalte zur Sperrung (nicht pauschal im Preisblatt abgebildet),SG27,FTX,4451,ABO,,Information überAbweichung,X,Information überAbweichung
70,Besondere Sachverhalte zur Sperrung (nicht pauschal im Preisblatt abgebildet),SG27,FTX,4440,,,Freier Text,X,
71,Abschnitts- Kontrollsegment,,,,,,,Muss,
72,Abschnitts- Kontrollsegment,,UNS,0081,S,,Trennung vonPositions- undSummenteil,X,Trennung vonPositions- undSummenteil
73,Mindestbetrag (netto) der Kosten einer Sperrung,,,,,,,Muss [37],
74,Mindestbetrag (netto) der Kosten einer Sperrung,,MOA,5025,Z02,,Mindestbetrag,X,Mindestbetrag
75,Mindestbetrag (netto) der Kosten einer Sperrung,,MOA,5004,,,Geldbetrag,X [902] ∧[930],
76,Höchstbetrag (netto) der Kosten einer Sperrung,,,,,,,Muss [37],
77,Höchstbetrag (netto) der Kosten einer Sperrung,,MOA,5025,Z03,,Höchstbetrag,X,Höchstbetrag
78,Höchstbetrag (netto) der Kosten einer Sperrung,,MOA,5004,,,Geldbetrag,X [902] ∧[930],
79,Nachrichten- Endesegment,,,,,,,Muss,
80,Nachrichten- Endesegment,,UNT,0074,,,Anzahl der Segmente ineiner Nachricht,X,
81,Nachrichten- Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
